iter	Passed	Remaining
0	2	209
1	4	218
2	6	213
3	10	244
4	13	248
5	15	242
6	18	244
7	20	239
8	23	240
9	27	246
10	29	241
11	32	234
12	34	230
13	36	223
14	39	224
15	42	224
16	45	220
17	47	217
18	50	214
19	52	211
20	55	209
21	58	207
22	60	203
23	62	198
24	64	194
25	67	190
26	69	187
27	71	184
28	74	181
29	76	178
30	79	176
31	81	172
32	84	171
33	87	169
34	90	167
35	92	165
36	95	162
37	97	159
38	100	157
39	102	154
40	105	151
41	108	149
42	111	147
43	113	144
44	115	141
45	119	140
46	122	137
47	124	135
48	127	132
49	129	129
50	131	126
51	133	122
52	135	119
53	136	116
54	139	113
55	141	110
56	144	108
57	146	106
58	148	103
59	150	100
60	152	97
61	154	94
62	156	91
63	158	89
64	160	86
65	162	83
66	164	81
67	166	78
68	168	75
69	170	72
70	172	70
71	174	67
72	176	65
73	178	62
74	180	60
75	182	57
76	183	54
77	185	52
78	188	49
79	189	47
80	191	44
81	193	42
82	194	39
83	196	37
84	198	34
85	200	32
86	202	30
87	203	27
88	205	25
89	207	23
90	209	20
91	211	18
92	212	16
93	214	13
94	216	11
95	218	9
96	220	6
97	222	4
98	224	2
99	226	0
